Year,Crop,Measurement,Unit,Value
2008,Maize,Percent of GE Area,Percent,30
2008,Cotton,Percent of GE Area,Percent,12
2008,Canola,Percent of GE Area,Percent,5
2008,Sugar beet,Percent of GE Area,Percent,1
2008,Alfalfa,Percent of GE Area,Percent,1
2008,Papaya,Percent of GE Area,Percent,1
2008,Others,Percent of GE Area,Percent,1
2009,Soybean,Percent of GE Area,Percent,52
2009,Maize,Percent of GE Area,Percent,31
2009,Cotton,Percent of GE Area,Percent,12
2009,Canola,Percent of GE Area,Percent,5
2009,Sugar beet,Percent of GE Area,Percent,1
2009,Alfalfa,Percent of GE Area,Percent,1
2009,Papaya,Percent of GE Area,Percent,1
2009,Others,Percent of GE Area,Percent,1
2010,Soybean,Percent of GE Area,Percent,50
2010,Maize,Percent of GE Area,Percent,31
2010,Cotton,Percent of GE Area,Percent,14
2010,Canola,Percent of GE Area,Percent,5
2010,Sugar beet,Percent of GE Area,Percent,1
2010,Alfalfa,Percent of GE Area,Percent,1
2010,Papaya,Percent of GE Area,Percent,1
2010,Others,Percent of GE Area,Percent,1
2011,Soybean,Percent of GE Area,Percent,47
2011,Maize,Percent of GE Area,Percent,32
2011,Cotton,Percent of GE Area,Percent,15
2011,Canola,Percent of GE Area,Percent,5
2011,Sugar beet,Percent of GE Area,Percent,1
2011,Alfalfa,Percent of GE Area,Percent,1
2011,Papaya,Percent of GE Area,Percent,1
2011,Others,Percent of GE Area,Percent,1
2012,Soybean,Percent of GE Area,Percent,47
2012,Maize,Percent of GE Area,Percent,32
2012,Cotton,Percent of GE Area,Percent,14
2012,Canola,Percent of GE Area,Percent,5
2012,Sugar beet,Percent of GE Area,Percent,1
2012,Alfalfa,Percent of GE Area,Percent,1
2012,Papaya,Percent of GE Area,Percent,1
2012,Others,Percent of GE Area,Percent,1
2013,Soybean,Percent of GE Area,Percent,48
2013,Maize,Percent of GE Area,Percent,33
2013,Cotton,Percent of GE Area,Percent,14
2013,Canola,Percent of GE Area,Percent,5
2013,Sugar beet,Percent of GE Area,Percent,1
2013,Alfalfa,Percent of GE Area,Percent,1
2013,Papaya,Percent of GE Area,Percent,1
2013,Others,Percent of GE Area,Percent,1
2014,Soybean,Percent of GE Area,Percent,50
2014,Maize,Percent of GE Area,Percent,30
2014,Cotton,Percent of GE Area,Percent,14
2014,Canola,Percent of GE Area,Percent,5
2014,Sugar beet,Percent of GE Area,Percent,1
2014,Alfalfa,Percent of GE Area,Percent,1
2014,Papaya,Percent of GE Area,Percent,1
2014,Others,Percent of GE Area,Percent,1
2015,Soybean,Percent of GE Area,Percent,51
2015,Maize,Percent of GE Area,Percent,30
2015,Cotton,Percent of GE Area,Percent,13
2015,Canola,Percent of GE Area,Percent,5
2015,Sugar beet,Percent of GE Area,Percent,1
2015,Alfalfa,Percent of GE Area,Percent,1
2015,Papaya,Percent of GE Area,Percent,1
2015,Others,Percent of GE Area,Percent,1
2016,Soybean,Percent of GE Area,Percent,50
2016,Maize,Percent of GE Area,Percent,33
2016,Cotton,Percent of GE Area,Percent,12
2016,Canola,Percent of GE Area,Percent,5
2016,Alfalfa,Percent of GE Area,Percent,1
2016,Sugar beet,Percent of GE Area,Percent,1
2016,Papaya,Percent of GE Area,Percent,1
2016,Others,Percent of GE Area,Percent,1
2017,Soybean,Percent of GE Area,Percent,50
2017,Maize,Percent of GE Area,Percent,31
2017,Cotton,Percent of GE Area,Percent,13
2017,Canola,Percent of GE Area,Percent,5
2017,Alfalfa,Percent of GE Area,Percent,1
2017,Sugar beet,Percent of GE Area,Percent,1
2017,Papaya,Percent of GE Area,Percent,1
2017,Others,Percent of GE Area,Percent,1
1996,Soybean,Area Change,Hectares,5e+05
1996,Maize,Area Change,Hectares,3e+05
1996,Tabacco,Area Change,Hectares,1e+06
1996,Cotton,Area Change,Hectares,8e+05
1996,Canola,Area Change,Hectares,1e+05
1996,Tomato,Area Change,Hectares,1e+05
1996,Potato,Area Change,Hectares,1e+05
1997,Soybean,Area Change,Hectares,4600000
1997,Maize,Area Change,Hectares,2900000
1997,Tabacco,Area Change,Hectares,6e+05
1997,Cotton,Area Change,Hectares,1100000
1997,Canola,Area Change,Hectares,1100000
1997,Tomato,Area Change,Hectares,0
1997,Potato,Area Change,Hectares,0
1998,Soybean,Area Change,Hectares,9400000
1998,Maize,Area Change,Hectares,5100000
1998,Cotton,Area Change,Hectares,1100000
1998,Canola,Area Change,Hectares,1200000
1998,Potato,Area Change,Hectares,0
1999,Soybean,Area Change,Hectares,7100000
1999,Maize,Area Change,Hectares,2800000
1999,Cotton,Area Change,Hectares,1200000
1999,Canola,Area Change,Hectares,1e+06
1999,Potato,Area Change,Hectares,0
2000,Soybean,Area Change,Hectares,4200000
2000,Maize,Area Change,Hectares,-8e+05
2000,Cotton,Area Change,Hectares,1600000
2000,Canola,Area Change,Hectares,-6e+05
2000,Potato,Area Change,Hectares,0
2000,Squash,Area Change,Hectares,0
2000,Papaya,Area Change,Hectares,0
2001,Soybean,Area Change,Hectares,7500000
2001,Maize,Area Change,Hectares,-5e+05
2001,Cotton,Area Change,Hectares,1500000
2001,Canola,Area Change,Hectares,-1e+05
2001,Potato,Area Change,Hectares,0
2001,Squash,Area Change,Hectares,0
2001,Papaya,Area Change,Hectares,0
2002,Soybean,Area Change,Hectares,3200000
2002,Maize,Area Change,Hectares,2600000
2002,Cotton,Area Change,Hectares,0
2002,Canola,Area Change,Hectares,3e+05
2002,Squash,Area Change,Hectares,0
2002,Papaya,Area Change,Hectares,0
2003,Soybean,Area Change,Hectares,4900000
2003,Maize,Area Change,Hectares,3100000
2003,Cotton,Area Change,Hectares,4e+05
2003,Canola,Area Change,Hectares,6e+05
2003,Squash,Area Change,Hectares,0
2003,Papaya,Area Change,Hectares,0
2004,Soybean,Area Change,Hectares,7e+06
2004,Maize,Area Change,Hectares,3800000
2004,Cotton,Area Change,Hectares,1800000
2004,Canola,Area Change,Hectares,7e+05
2004,Squash,Area Change,Hectares,0
2004,Papaya,Area Change,Hectares,0
2005,Soybean,Area Change,Hectares,6e+06
2005,Maize,Area Change,Hectares,1900000
2005,Cotton,Area Change,Hectares,8e+05
2005,Canola,Area Change,Hectares,3e+05
2006,Soybean,Area Change,Hectares,4200000
2006,Maize,Area Change,Hectares,4e+06
2006,Cotton,Area Change,Hectares,3600000
2006,Canola,Area Change,Hectares,2e+05
2006,Rice,Area Change,Hectares,0
2006,Papaya,Area Change,Hectares,0
2006,Others,Area Change,Hectares,0
2007,Soybean,Area Change,Hectares,0
2007,Maize,Area Change,Hectares,1e+07
2007,Cotton,Area Change,Hectares,1600000
2007,Canola,Area Change,Hectares,7e+05
2007,Alfalfa,Area Change,Hectares,0
2007,Papaya,Area Change,Hectares,0
2007,Others,Area Change,Hectares,0
2008,Soybean,Area Change,Hectares,7300000
2008,Maize,Area Change,Hectares,2100000
2008,Cotton,Area Change,Hectares,5e+05
2008,Canola,Area Change,Hectares,4e+05
2008,Papaya,Area Change,Hectares,0
2008,Others,Area Change,Hectares,0
2009,Soybean,Area Change,Hectares,3400000
2009,Maize,Area Change,Hectares,4400000
2009,Cotton,Area Change,Hectares,6e+05
2009,Canola,Area Change,Hectares,5e+05
2009,Sugar beet,Area Change,Hectares,2e+05
2009,Alfalfa,Area Change,Hectares,0
2009,Papaya,Area Change,Hectares,0
2009,Others,Area Change,Hectares,0
2010,Soybean,Area Change,Hectares,4100000
2010,Maize,Area Change,Hectares,4300000
2010,Cotton,Area Change,Hectares,4900000
2010,Canola,Area Change,Hectares,6e+05
2010,Sugar beet,Area Change,Hectares,0
2010,Alfalfa,Area Change,Hectares,0
2010,Papaya,Area Change,Hectares,0
2010,Others,Area Change,Hectares,0
2011,Soybean,Area Change,Hectares,2100000
2011,Maize,Area Change,Hectares,5e+06
2011,Cotton,Area Change,Hectares,3700000
2011,Canola,Area Change,Hectares,1200000
2011,Sugar beet,Area Change,Hectares,0
2011,Alfalfa,Area Change,Hectares,1e+05
2011,Papaya,Area Change,Hectares,0
2011,Others,Area Change,Hectares,0
2012,Soybean,Area Change,Hectares,5300000
2012,Maize,Area Change,Hectares,4100000
2012,Cotton,Area Change,Hectares,-4e+05
2012,Canola,Area Change,Hectares,1e+06
2012,Sugar beet,Area Change,Hectares,0
2012,Alfalfa,Area Change,Hectares,2e+05
2013,Soybean,Area Change,Hectares,3800000
2013,Maize,Area Change,Hectares,2300000
2013,Cotton,Area Change,Hectares,-4e+05
2013,Canola,Area Change,Hectares,-1e+06
2013,Sugar beet,Area Change,Hectares,0
2013,Alfalfa,Area Change,Hectares,4e+05
2013,Papaya,Area Change,Hectares,0
2013,Others,Area Change,Hectares,0
2014,Soybean,Area Change,Hectares,6200000
2014,Maize,Area Change,Hectares,-2100000
2014,Cotton,Area Change,Hectares,1200000
2014,Canola,Area Change,Hectares,8e+05
2014,Sugar beet,Area Change,Hectares,0
2014,Alfalfa,Area Change,Hectares,1e+05
2014,Papaya,Area Change,Hectares,1e+05
2014,Others,Area Change,Hectares,1e+05
2015,Soybean,Area Change,Hectares,1400000
2015,Maize,Area Change,Hectares,-1600000
2015,Cotton,Area Change,Hectares,-1100000
2015,Canola,Area Change,Hectares,-5e+05
2015,Sugar beet,Area Change,Hectares,0
2015,Alfalfa,Area Change,Hectares,1e+05
2015,Papaya,Area Change,Hectares,0
2015,Others,Area Change,Hectares,0
2016,Soybean,Area Change,Hectares,-7e+05
2016,Maize,Area Change,Hectares,7e+06
2016,Cotton,Area Change,Hectares,-1700000
2016,Canola,Area Change,Hectares,1e+05
2016,Alfalfa,Area Change,Hectares,2e+05
2016,Sugar beet,Area Change,Hectares,0
2016,Papaya,Area Change,Hectares,0
2016,Others,Area Change,Hectares,0
2017,Soybean,Area Change,Hectares,2700000
2017,Maize,Area Change,Hectares,-9e+05
2017,Cotton,Area Change,Hectares,1800000
2017,Canola,Area Change,Hectares,1600000
2017,Alfalfa,Area Change,Hectares,0
2017,Sugar beet,Area Change,Hectares,0
2017,Papaya,Area Change,Hectares,0
2017,Others,Area Change,Hectares,0
1997,Soybean,Percent Change,Percent,1000
1997,Maize,Percent Change,Percent,1100
1997,Tabacco,Percent Change,Percent,160
1997,Cotton,Percent Change,Percent,180
1997,Canola,Percent Change,Percent,950
1997,Tomato,Percent Change,Percent,0
1997,Potato,Percent Change,Percent,0
1998,Soybean,Percent Change,Percent,29
1998,Maize,Percent Change,Percent,26
1998,Cotton,Percent Change,Percent,18
1998,Canola,Percent Change,Percent,20
1998,Potato,Percent Change,Percent,0
1999,Soybean,Percent Change,Percent,50
1999,Maize,Percent Change,Percent,30
1999,Cotton,Percent Change,Percent,50
1999,Canola,Percent Change,Percent,40
1999,Potato,Percent Change,Percent,0
2000,Soybean,Percent Change,Percent,19
2000,Maize,Percent Change,Percent,-7
2000,Cotton,Percent Change,Percent,43
2000,Canola,Percent Change,Percent,-18
2000,Potato,Percent Change,Percent,0
2000,Squash,Percent Change,Percent,0
2000,Papaya,Percent Change,Percent,0
2001,Soybean,Percent Change,Percent,29
2001,Maize,Percent Change,Percent,-5
2001,Cotton,Percent Change,Percent,28
2001,Canola,Percent Change,Percent,-4
2001,Potato,Percent Change,Percent,0
2001,Squash,Percent Change,Percent,0
2001,Papaya,Percent Change,Percent,0
2002,Soybean,Percent Change,Percent,10
2002,Maize,Percent Change,Percent,27
2002,Cotton,Percent Change,Percent,0
2002,Canola,Percent Change,Percent,11
2002,Squash,Percent Change,Percent,0
2002,Papaya,Percent Change,Percent,0
2003,Soybean,Percent Change,Percent,13
2003,Maize,Percent Change,Percent,25
2003,Cotton,Percent Change,Percent,6
2003,Canola,Percent Change,Percent,20
2003,Squash,Percent Change,Percent,0
2003,Papaya,Percent Change,Percent,0
2004,Soybean,Percent Change,Percent,17
2004,Maize,Percent Change,Percent,25
2004,Cotton,Percent Change,Percent,25
2004,Canola,Percent Change,Percent,19
2004,Squash,Percent Change,Percent,0
2004,Papaya,Percent Change,Percent,0
2005,Soybean,Percent Change,Percent,12
2005,Maize,Percent Change,Percent,10
2005,Cotton,Percent Change,Percent,9
2005,Canola,Percent Change,Percent,7
2006,Soybean,Percent Change,Percent,8
2006,Maize,Percent Change,Percent,19
2006,Cotton,Percent Change,Percent,37
2006,Canola,Percent Change,Percent,4
2006,Rice,Percent Change,Percent,0
2006,Papaya,Percent Change,Percent,0
2006,Others,Percent Change,Percent,0
2007,Soybean,Percent Change,Percent,0
2007,Maize,Percent Change,Percent,40
2007,Cotton,Percent Change,Percent,12
2007,Canola,Percent Change,Percent,15
2007,Alfalfa,Percent Change,Percent,0
2007,Papaya,Percent Change,Percent,0
2007,Others,Percent Change,Percent,0
2008,Soybean,Percent Change,Percent,13
2008,Maize,Percent Change,Percent,6
2008,Cotton,Percent Change,Percent,3
2008,Canola,Percent Change,Percent,7
2008,Alfalfa,Percent Change,Percent,0
2008,Papaya,Percent Change,Percent,0
2008,Others,Percent Change,Percent,0
2009,Soybean,Percent Change,Percent,5
2009,Maize,Percent Change,Percent,12
2009,Cotton,Percent Change,Percent,4
2009,Canola,Percent Change,Percent,8
2009,Sugar beet,Percent Change,Percent,66
2009,Alfalfa,Percent Change,Percent,0
2009,Papaya,Percent Change,Percent,0
2009,Others,Percent Change,Percent,0
2010,Soybean,Percent Change,Percent,6
2010,Maize,Percent Change,Percent,10
2010,Cotton,Percent Change,Percent,30
2010,Canola,Percent Change,Percent,9
2010,Sugar beet,Percent Change,Percent,0
2010,Alfalfa,Percent Change,Percent,0
2010,Papaya,Percent Change,Percent,0
2010,Others,Percent Change,Percent,0
2011,Soybean,Percent Change,Percent,3
2011,Maize,Percent Change,Percent,11
2011,Cotton,Percent Change,Percent,18
2011,Canola,Percent Change,Percent,17
2011,Sugar beet,Percent Change,Percent,0
2011,Alfalfa,Percent Change,Percent,50
2011,Papaya,Percent Change,Percent,0
2011,Others,Percent Change,Percent,0
2012,Soybean,Percent Change,Percent,7
2012,Maize,Percent Change,Percent,8
2012,Cotton,Percent Change,Percent,-2
2012,Canola,Percent Change,Percent,12
2012,Sugar beet,Percent Change,Percent,0
2012,Alfalfa,Percent Change,Percent,50
2012,Papaya,Percent Change,Percent,0
2012,Others,Percent Change,Percent,0
2013,Soybean,Percent Change,Percent,5
2013,Maize,Percent Change,Percent,4
2013,Cotton,Percent Change,Percent,-2
2013,Canola,Percent Change,Percent,-11
2013,Sugar beet,Percent Change,Percent,0
2013,Alfalfa,Percent Change,Percent,50
2013,Papaya,Percent Change,Percent,0
2013,Others,Percent Change,Percent,0
2014,Soybean,Percent Change,Percent,7
2014,Maize,Percent Change,Percent,-4
2014,Cotton,Percent Change,Percent,5
2014,Canola,Percent Change,Percent,10
2014,Sugar beet,Percent Change,Percent,0
2014,Alfalfa,Percent Change,Percent,0.1
2014,Papaya,Percent Change,Percent,0
2014,Others,Percent Change,Percent,0
2015,Soybean,Percent Change,Percent,2
2015,Maize,Percent Change,Percent,-3
2015,Cotton,Percent Change,Percent,-4
2015,Canola,Percent Change,Percent,-6
2015,Sugar beet,Percent Change,Percent,0
2015,Alfalfa,Percent Change,Percent,11
2015,Papaya,Percent Change,Percent,0
2015,Others,Percent Change,Percent,0
2016,Soybean,Percent Change,Percent,-1
2016,Maize,Percent Change,Percent,13
2016,Cotton,Percent Change,Percent,-7
2016,Canola,Percent Change,Percent,1
2016,Alfalfa,Percent Change,Percent,20
2016,Sugar beet,Percent Change,Percent,0
2016,Papaya,Percent Change,Percent,0
2016,Others,Percent Change,Percent,0
2017,Soybean,Percent Change,Percent,3
2017,Maize,Percent Change,Percent,-1
2017,Cotton,Percent Change,Percent,8
2017,Canola,Percent Change,Percent,19
2017,Alfalfa,Percent Change,Percent,0
2017,Sugar beet,Percent Change,Percent,0
2017,Papaya,Percent Change,Percent,0
2017,Others,Percent Change,Percent,0
