Area,Crop,Year,Measurement,Unit,Value
United Kingdom,Wheat,1486,Yield,kg/ha,516.445514
United Kingdom,Wheat,1487,Yield,kg/ha,397.214632
United Kingdom,Wheat,1488,Yield,kg/ha,414.4717
United Kingdom,Wheat,1489,Yield,kg/ha,431.728768
United Kingdom,Wheat,1490,Yield,kg/ha,323.703819
United Kingdom,Wheat,1491,Yield,kg/ha,424.557009
United Kingdom,Wheat,1492,Yield,kg/ha,421.867517
United Kingdom,Wheat,1493,Yield,kg/ha,421.867517
United Kingdom,Wheat,1494,Yield,kg/ha,NA
United Kingdom,Wheat,1495,Yield,kg/ha,NA
United Kingdom,Wheat,1549,Yield,kg/ha,NA
United Kingdom,Wheat,1550,Yield,kg/ha,NA
United Kingdom,Wheat,1551,Yield,kg/ha,569.41554
United Kingdom,Wheat,1552,Yield,kg/ha,340.454343
United Kingdom,Wheat,1553,Yield,kg/ha,935.49831
United Kingdom,Wheat,1554,Yield,kg/ha,757.114922
United Kingdom,Wheat,1555,Yield,kg/ha,681.703282
United Kingdom,Wheat,1556,Yield,kg/ha,396.259605
United Kingdom,Wheat,1557,Yield,kg/ha,613.597272
United Kingdom,Wheat,1558,Yield,kg/ha,1103.929923
United Kingdom,Wheat,1559,Yield,kg/ha,893.401306
United Kingdom,Wheat,1560,Yield,kg/ha,553.511365
United Kingdom,Wheat,1561,Yield,kg/ha,656.225473
United Kingdom,Wheat,1562,Yield,kg/ha,724.286593
United Kingdom,Wheat,1563,Yield,kg/ha,1167.804889
United Kingdom,Wheat,1564,Yield,kg/ha,776.463982
United Kingdom,Wheat,1565,Yield,kg/ha,898.184535
United Kingdom,Wheat,1566,Yield,kg/ha,1042.693148
United Kingdom,Wheat,1567,Yield,kg/ha,1078.267189
United Kingdom,Wheat,1568,Yield,kg/ha,938.140785
United Kingdom,Wheat,1569,Yield,kg/ha,971.025549
United Kingdom,Wheat,1570,Yield,kg/ha,735.462014
United Kingdom,Wheat,1571,Yield,kg/ha,544.705009
United Kingdom,Wheat,1572,Yield,kg/ha,404.137774
United Kingdom,Wheat,1573,Yield,kg/ha,793.106537
United Kingdom,Wheat,1574,Yield,kg/ha,359.431556
United Kingdom,Wheat,1575,Yield,kg/ha,742.62809
United Kingdom,Wheat,1576,Yield,kg/ha,981.855638
United Kingdom,Wheat,1577,Yield,kg/ha,289.939045
United Kingdom,Wheat,1578,Yield,kg/ha,820.351073
United Kingdom,Wheat,1579,Yield,kg/ha,913.773273
United Kingdom,Wheat,1580,Yield,kg/ha,672.841064
United Kingdom,Wheat,1581,Yield,kg/ha,631.65121
United Kingdom,Wheat,1582,Yield,kg/ha,573.180317
United Kingdom,Wheat,1583,Yield,kg/ha,889.201338
United Kingdom,Wheat,1584,Yield,kg/ha,1015.194249
United Kingdom,Wheat,1585,Yield,kg/ha,564.295409
United Kingdom,Wheat,1586,Yield,kg/ha,363.225669
United Kingdom,Wheat,1587,Yield,kg/ha,785.717321
United Kingdom,Wheat,1588,Yield,kg/ha,1005.142166
United Kingdom,Wheat,1589,Yield,kg/ha,647.933189
United Kingdom,Wheat,1590,Yield,kg/ha,877.423844
United Kingdom,Wheat,1591,Yield,kg/ha,648.023829
United Kingdom,Wheat,1592,Yield,kg/ha,686.822631
United Kingdom,Wheat,1593,Yield,kg/ha,788.962065
United Kingdom,Wheat,1594,Yield,kg/ha,313.106032
United Kingdom,Wheat,1595,Yield,kg/ha,466.470868
United Kingdom,Wheat,1596,Yield,kg/ha,313.106032
United Kingdom,Wheat,1597,Yield,kg/ha,291.687021
United Kingdom,Wheat,1598,Yield,kg/ha,449.030976
United Kingdom,Wheat,1599,Yield,kg/ha,754.921464
United Kingdom,Wheat,1600,Yield,kg/ha,806.011969
United Kingdom,Wheat,1601,Yield,kg/ha,615.91803
United Kingdom,Wheat,1602,Yield,kg/ha,868.796484
United Kingdom,Wheat,1603,Yield,kg/ha,927.908661
United Kingdom,Wheat,1604,Yield,kg/ha,841.008035
United Kingdom,Wheat,1605,Yield,kg/ha,756.78058
United Kingdom,Wheat,1606,Yield,kg/ha,847.093261
United Kingdom,Wheat,1607,Yield,kg/ha,605.135521
United Kingdom,Wheat,1608,Yield,kg/ha,539.811305
United Kingdom,Wheat,1609,Yield,kg/ha,931.263067
United Kingdom,Wheat,1610,Yield,kg/ha,1334.845655
United Kingdom,Wheat,1611,Yield,kg/ha,784.280462
United Kingdom,Wheat,1612,Yield,kg/ha,1206.581815
United Kingdom,Wheat,1613,Yield,kg/ha,861.105741
United Kingdom,Wheat,1614,Yield,kg/ha,752.212703
United Kingdom,Wheat,1615,Yield,kg/ha,932.623789
United Kingdom,Wheat,1616,Yield,kg/ha,622.562049
United Kingdom,Wheat,1617,Yield,kg/ha,959.659542
United Kingdom,Wheat,1618,Yield,kg/ha,885.068323
United Kingdom,Wheat,1619,Yield,kg/ha,690.242353
United Kingdom,Wheat,1620,Yield,kg/ha,1436.434992
United Kingdom,Wheat,1621,Yield,kg/ha,896.747991
United Kingdom,Wheat,1622,Yield,kg/ha,639.40703
United Kingdom,Wheat,1623,Yield,kg/ha,640.586398
United Kingdom,Wheat,1624,Yield,kg/ha,1011.86018
United Kingdom,Wheat,1625,Yield,kg/ha,1052.211933
United Kingdom,Wheat,1626,Yield,kg/ha,963.760425
United Kingdom,Wheat,1627,Yield,kg/ha,1002.368723
United Kingdom,Wheat,1628,Yield,kg/ha,1597.010595
United Kingdom,Wheat,1629,Yield,kg/ha,713.16729
United Kingdom,Wheat,1630,Yield,kg/ha,707.737904
United Kingdom,Wheat,1631,Yield,kg/ha,705.820326
United Kingdom,Wheat,1632,Yield,kg/ha,1143.396083
United Kingdom,Wheat,1633,Yield,kg/ha,762.684411
United Kingdom,Wheat,1634,Yield,kg/ha,1019.957772
United Kingdom,Wheat,1635,Yield,kg/ha,1241.791872
United Kingdom,Wheat,1636,Yield,kg/ha,1025.500492
United Kingdom,Wheat,1637,Yield,kg/ha,1198.509061
United Kingdom,Wheat,1638,Yield,kg/ha,1225.249311
United Kingdom,Wheat,1639,Yield,kg/ha,1206.722062
United Kingdom,Wheat,1640,Yield,kg/ha,1331.982617
United Kingdom,Wheat,1641,Yield,kg/ha,769.143813
United Kingdom,Wheat,1642,Yield,kg/ha,903.343584
United Kingdom,Wheat,1643,Yield,kg/ha,751.006767
United Kingdom,Wheat,1644,Yield,kg/ha,983.363308
United Kingdom,Wheat,1645,Yield,kg/ha,786.662079
United Kingdom,Wheat,1646,Yield,kg/ha,711.894827
United Kingdom,Wheat,1647,Yield,kg/ha,839.592188
United Kingdom,Wheat,1648,Yield,kg/ha,920.000387
United Kingdom,Wheat,1649,Yield,kg/ha,535.028131
United Kingdom,Wheat,1650,Yield,kg/ha,462.189858
United Kingdom,Wheat,1651,Yield,kg/ha,657.084412
United Kingdom,Wheat,1652,Yield,kg/ha,855.47038
United Kingdom,Wheat,1653,Yield,kg/ha,1171.289276
United Kingdom,Wheat,1654,Yield,kg/ha,1291.698481
United Kingdom,Wheat,1655,Yield,kg/ha,1417.722085
United Kingdom,Wheat,1656,Yield,kg/ha,1143.160596
United Kingdom,Wheat,1657,Yield,kg/ha,861.434388
United Kingdom,Wheat,1658,Yield,kg/ha,622.67141
United Kingdom,Wheat,1659,Yield,kg/ha,715.38772
United Kingdom,Wheat,1660,Yield,kg/ha,844.700228
United Kingdom,Wheat,1661,Yield,kg/ha,761.852729
United Kingdom,Wheat,1662,Yield,kg/ha,881.560703
United Kingdom,Wheat,1663,Yield,kg/ha,811.306125
United Kingdom,Wheat,1664,Yield,kg/ha,891.191099
United Kingdom,Wheat,1665,Yield,kg/ha,1007.942857
United Kingdom,Wheat,1666,Yield,kg/ha,1240.916955
United Kingdom,Wheat,1667,Yield,kg/ha,1351.327456
United Kingdom,Wheat,1668,Yield,kg/ha,802.395077
United Kingdom,Wheat,1669,Yield,kg/ha,1074.915005
United Kingdom,Wheat,1670,Yield,kg/ha,1028.325456
United Kingdom,Wheat,1671,Yield,kg/ha,909.619487
United Kingdom,Wheat,1672,Yield,kg/ha,722.295592
United Kingdom,Wheat,1673,Yield,kg/ha,784.427509
United Kingdom,Wheat,1674,Yield,kg/ha,517.8443
United Kingdom,Wheat,1675,Yield,kg/ha,653.096296
United Kingdom,Wheat,1676,Yield,kg/ha,1237.895609
United Kingdom,Wheat,1677,Yield,kg/ha,893.764955
United Kingdom,Wheat,1678,Yield,kg/ha,1132.293071
United Kingdom,Wheat,1679,Yield,kg/ha,933.907115
United Kingdom,Wheat,1680,Yield,kg/ha,1510.621896
United Kingdom,Wheat,1681,Yield,kg/ha,1024.878683
United Kingdom,Wheat,1682,Yield,kg/ha,1146.41516
United Kingdom,Wheat,1683,Yield,kg/ha,1213.124513
United Kingdom,Wheat,1684,Yield,kg/ha,846.271341
United Kingdom,Wheat,1685,Yield,kg/ha,1238.18524
United Kingdom,Wheat,1686,Yield,kg/ha,744.04613
United Kingdom,Wheat,1687,Yield,kg/ha,1484.760754
United Kingdom,Wheat,1688,Yield,kg/ha,1070.191069
United Kingdom,Wheat,1689,Yield,kg/ha,896.651378
United Kingdom,Wheat,1690,Yield,kg/ha,1117.739662
United Kingdom,Wheat,1691,Yield,kg/ha,969.973465
United Kingdom,Wheat,1692,Yield,kg/ha,1444.691147
United Kingdom,Wheat,1693,Yield,kg/ha,641.012674
United Kingdom,Wheat,1694,Yield,kg/ha,1647.261904
United Kingdom,Wheat,1695,Yield,kg/ha,1103.86632
United Kingdom,Wheat,1696,Yield,kg/ha,905.976432
United Kingdom,Wheat,1697,Yield,kg/ha,1023.33297
United Kingdom,Wheat,1698,Yield,kg/ha,856.479121
United Kingdom,Wheat,1699,Yield,kg/ha,839.115925
United Kingdom,Wheat,1700,Yield,kg/ha,1183.48579
United Kingdom,Wheat,1701,Yield,kg/ha,978.14737
United Kingdom,Wheat,1702,Yield,kg/ha,880.994645
United Kingdom,Wheat,1703,Yield,kg/ha,793.347094
United Kingdom,Wheat,1704,Yield,kg/ha,1387.516861
United Kingdom,Wheat,1705,Yield,kg/ha,1408.309098
United Kingdom,Wheat,1706,Yield,kg/ha,1011.15713
United Kingdom,Wheat,1707,Yield,kg/ha,1182.938648
United Kingdom,Wheat,1708,Yield,kg/ha,616.010375
United Kingdom,Wheat,1709,Yield,kg/ha,422.15649
United Kingdom,Wheat,1710,Yield,kg/ha,682.354353
United Kingdom,Wheat,1711,Yield,kg/ha,1103.474565
United Kingdom,Wheat,1712,Yield,kg/ha,1017.74777
United Kingdom,Wheat,1713,Yield,kg/ha,611.291779
United Kingdom,Wheat,1714,Yield,kg/ha,1204.160802
United Kingdom,Wheat,1715,Yield,kg/ha,769.538025
United Kingdom,Wheat,1716,Yield,kg/ha,857.838271
United Kingdom,Wheat,1717,Yield,kg/ha,968.096855
United Kingdom,Wheat,1718,Yield,kg/ha,1249.989208
United Kingdom,Wheat,1719,Yield,kg/ha,1021.666523
United Kingdom,Wheat,1720,Yield,kg/ha,1397.475164
United Kingdom,Wheat,1721,Yield,kg/ha,1296.178608
United Kingdom,Wheat,1722,Yield,kg/ha,998.506012
United Kingdom,Wheat,1723,Yield,kg/ha,1207.919659
United Kingdom,Wheat,1724,Yield,kg/ha,1012.573039
United Kingdom,Wheat,1725,Yield,kg/ha,1164.157791
United Kingdom,Wheat,1726,Yield,kg/ha,654.762236
United Kingdom,Wheat,1727,Yield,kg/ha,871.067537
United Kingdom,Wheat,1728,Yield,kg/ha,1260.81748
United Kingdom,Wheat,1729,Yield,kg/ha,1100.825474
United Kingdom,Wheat,1730,Yield,kg/ha,886.023125
United Kingdom,Wheat,1731,Yield,kg/ha,913.36863
United Kingdom,Wheat,1732,Yield,kg/ha,1434.270596
United Kingdom,Wheat,1733,Yield,kg/ha,1464.458479
United Kingdom,Wheat,1734,Yield,kg/ha,1043.837711
United Kingdom,Wheat,1735,Yield,kg/ha,636.391507
United Kingdom,Wheat,1736,Yield,kg/ha,1729.550963
United Kingdom,Wheat,1737,Yield,kg/ha,1663.77516
United Kingdom,Wheat,1738,Yield,kg/ha,1085.101719
United Kingdom,Wheat,1739,Yield,kg/ha,1211.953071
United Kingdom,Wheat,1740,Yield,kg/ha,898.348267
United Kingdom,Wheat,1741,Yield,kg/ha,1233.224199
United Kingdom,Wheat,1742,Yield,kg/ha,1523.523968
United Kingdom,Wheat,1743,Yield,kg/ha,1166.162726
United Kingdom,Wheat,1744,Yield,kg/ha,847.248334
United Kingdom,Wheat,1745,Yield,kg/ha,821.982617
United Kingdom,Wheat,1746,Yield,kg/ha,1084.469602
United Kingdom,Wheat,1747,Yield,kg/ha,1579.594085
United Kingdom,Wheat,1748,Yield,kg/ha,946.602513
United Kingdom,Wheat,1749,Yield,kg/ha,1132.913806
United Kingdom,Wheat,1750,Yield,kg/ha,1085.494022
United Kingdom,Wheat,1751,Yield,kg/ha,758.745955
United Kingdom,Wheat,1752,Yield,kg/ha,1029.369056
United Kingdom,Wheat,1753,Yield,kg/ha,890.209054
United Kingdom,Wheat,1754,Yield,kg/ha,938.524989
United Kingdom,Wheat,1755,Yield,kg/ha,978.576806
United Kingdom,Wheat,1756,Yield,kg/ha,1018.393667
United Kingdom,Wheat,1757,Yield,kg/ha,1388.851182
United Kingdom,Wheat,1758,Yield,kg/ha,1477.259359
United Kingdom,Wheat,1759,Yield,kg/ha,1312.984569
United Kingdom,Wheat,1760,Yield,kg/ha,1253.723747
United Kingdom,Wheat,1761,Yield,kg/ha,1484.040719
United Kingdom,Wheat,1762,Yield,kg/ha,1264.06593
United Kingdom,Wheat,1763,Yield,kg/ha,1314.315413
United Kingdom,Wheat,1764,Yield,kg/ha,1340.695516
United Kingdom,Wheat,1765,Yield,kg/ha,1541.148438
United Kingdom,Wheat,1766,Yield,kg/ha,878.83534
United Kingdom,Wheat,1767,Yield,kg/ha,1407.330446
United Kingdom,Wheat,1768,Yield,kg/ha,1439.89953
United Kingdom,Wheat,1769,Yield,kg/ha,1604.787464
United Kingdom,Wheat,1770,Yield,kg/ha,1298.339503
United Kingdom,Wheat,1771,Yield,kg/ha,1213.998954
United Kingdom,Wheat,1772,Yield,kg/ha,937.864887
United Kingdom,Wheat,1773,Yield,kg/ha,1430.633
United Kingdom,Wheat,1774,Yield,kg/ha,1269.829758
United Kingdom,Wheat,1775,Yield,kg/ha,1538.471181
United Kingdom,Wheat,1776,Yield,kg/ha,1219.149652
United Kingdom,Wheat,1777,Yield,kg/ha,1494.517912
United Kingdom,Wheat,1778,Yield,kg/ha,1250.909049
United Kingdom,Wheat,1779,Yield,kg/ha,1254.308932
United Kingdom,Wheat,1780,Yield,kg/ha,1404.370812
United Kingdom,Wheat,1781,Yield,kg/ha,1763.286113
United Kingdom,Wheat,1782,Yield,kg/ha,1348.617465
United Kingdom,Wheat,1783,Yield,kg/ha,1239.998192
United Kingdom,Wheat,1784,Yield,kg/ha,1366.680509
