Area,Year,Measurement,Unit,Value
Prince Edward Island,1981,3,520.00 acres and over,Number,1
Nova Scotia,1981,Total number of farms,Number,5045
Nova Scotia,1981,Under 10.00 acres,Number,422
Nova Scotia,1981,10.00 to 69.99 acres,Number,894
Nova Scotia,1981,70.00 to 129.99 acres,Number,933
Nova Scotia,1981,130.00 to 179.99 acres,Number,556
Nova Scotia,1981,180.00 to 239.99 acres,Number,558
Nova Scotia,1981,240.00 to 399.99 acres,Number,884
Nova Scotia,1981,400.00 to 559.99 acres,Number,401
Nova Scotia,1981,560.00 to 759.99 acres,Number,210
Nova Scotia,1981,760.00 to 1,119.99 acres,Number,111
Nova Scotia,1981,1,120.00 to 1,599.99 acres,Number,43
Nova Scotia,1981,1,600.00 to 2,239.99 acres,Number,20
Nova Scotia,1981,2,240.00 to 2,879.99 acres,Number,8
Nova Scotia,1981,2,880.00 to 3,519.99 acres,Number,3
Nova Scotia,1981,3,520.00 acres and over,Number,2
New Brunswick,1981,Total number of farms,Number,4063
New Brunswick,1981,Under 10.00 acres,Number,259
New Brunswick,1981,10.00 to 69.99 acres,Number,478
New Brunswick,1981,70.00 to 129.99 acres,Number,721
New Brunswick,1981,130.00 to 179.99 acres,Number,413
New Brunswick,1981,180.00 to 239.99 acres,Number,567
New Brunswick,1981,240.00 to 399.99 acres,Number,834
New Brunswick,1981,400.00 to 559.99 acres,Number,407
New Brunswick,1981,560.00 to 759.99 acres,Number,200
New Brunswick,1981,760.00 to 1,119.99 acres,Number,114
New Brunswick,1981,1,120.00 to 1,599.99 acres,Number,39
New Brunswick,1981,1,600.00 to 2,239.99 acres,Number,17
New Brunswick,1981,2,240.00 to 2,879.99 acres,Number,8
New Brunswick,1981,2,880.00 to 3,519.99 acres,Number,3
New Brunswick,1981,3,520.00 acres and over,Number,3
Quebec,1981,Total number of farms,Number,48144
Quebec,1981,Under 10.00 acres,Number,2662
Quebec,1981,10.00 to 69.99 acres,Number,7610
Quebec,1981,70.00 to 129.99 acres,Number,10435
Quebec,1981,130.00 to 179.99 acres,Number,7112
Quebec,1981,180.00 to 239.99 acres,Number,6864
Quebec,1981,240.00 to 399.99 acres,Number,8605
Quebec,1981,400.00 to 559.99 acres,Number,3015
Quebec,1981,560.00 to 759.99 acres,Number,1151
Quebec,1981,760.00 to 1,119.99 acres,Number,534
Quebec,1981,1,120.00 to 1,599.99 acres,Number,109
Quebec,1981,1,600.00 to 2,239.99 acres,Number,31
Quebec,1981,2,240.00 to 2,879.99 acres,Number,7
Quebec,1981,2,880.00 to 3,519.99 acres,Number,1
Quebec,1981,3,520.00 acres and over,Number,8
Ontario,1981,Total number of farms,Number,82448
Ontario,1981,Under 10.00 acres,Number,5248
Ontario,1981,10.00 to 69.99 acres,Number,17129
Ontario,1981,70.00 to 129.99 acres,Number,20319
Ontario,1981,130.00 to 179.99 acres,Number,10018
Ontario,1981,180.00 to 239.99 acres,Number,9730
Ontario,1981,240.00 to 399.99 acres,Number,12022
Ontario,1981,400.00 to 559.99 acres,Number,4425
Ontario,1981,560.00 to 759.99 acres,Number,1918
Ontario,1981,760.00 to 1,119.99 acres,Number,1107
Ontario,1981,1,120.00 to 1,599.99 acres,Number,371
Ontario,1981,1,600.00 to 2,239.99 acres,Number,101
Ontario,1981,2,240.00 to 2,879.99 acres,Number,39
Ontario,1981,2,880.00 to 3,519.99 acres,Number,7
Ontario,1981,3,520.00 acres and over,Number,14
Manitoba,1981,Total number of farms,Number,29442
Manitoba,1981,Under 10.00 acres,Number,773
Manitoba,1981,10.00 to 69.99 acres,Number,1832
Manitoba,1981,70.00 to 129.99 acres,Number,1475
Manitoba,1981,130.00 to 179.99 acres,Number,3024
Manitoba,1981,180.00 to 239.99 acres,Number,890
Manitoba,1981,240.00 to 399.99 acres,Number,4975
Manitoba,1981,400.00 to 559.99 acres,Number,4113
Manitoba,1981,560.00 to 759.99 acres,Number,3875
Manitoba,1981,760.00 to 1,119.99 acres,Number,4203
Manitoba,1981,1,120.00 to 1,599.99 acres,Number,2352
Manitoba,1981,1,600.00 to 2,239.99 acres,Number,1123
Manitoba,1981,2,240.00 to 2,879.99 acres,Number,387
Manitoba,1981,2,880.00 to 3,519.99 acres,Number,156
Manitoba,1981,3,520.00 acres and over,Number,264
Saskatchewan,1981,Total number of farms,Number,67318
Saskatchewan,1981,Under 10.00 acres,Number,505
Saskatchewan,1981,10.00 to 69.99 acres,Number,1189
Saskatchewan,1981,70.00 to 129.99 acres,Number,992
Saskatchewan,1981,130.00 to 179.99 acres,Number,5905
Saskatchewan,1981,180.00 to 239.99 acres,Number,541
Saskatchewan,1981,240.00 to 399.99 acres,Number,8577
Saskatchewan,1981,400.00 to 559.99 acres,Number,7718
Saskatchewan,1981,560.00 to 759.99 acres,Number,9314
Saskatchewan,1981,760.00 to 1,119.99 acres,Number,13510
Saskatchewan,1981,1,120.00 to 1,599.99 acres,Number,10012
Saskatchewan,1981,1,600.00 to 2,239.99 acres,Number,5190
Saskatchewan,1981,2,240.00 to 2,879.99 acres,Number,1858
Saskatchewan,1981,2,880.00 to 3,519.99 acres,Number,792
Saskatchewan,1981,3,520.00 acres and over,Number,1215
Alberta,1981,Total number of farms,Number,58056
Alberta,1981,Under 10.00 acres,Number,910
Alberta,1981,10.00 to 69.99 acres,Number,3352
Alberta,1981,70.00 to 129.99 acres,Number,2353
Alberta,1981,130.00 to 179.99 acres,Number,9023
Alberta,1981,180.00 to 239.99 acres,Number,1050
Alberta,1981,240.00 to 399.99 acres,Number,9383
Alberta,1981,400.00 to 559.99 acres,Number,6844
Alberta,1981,560.00 to 759.99 acres,Number,6404
Alberta,1981,760.00 to 1,119.99 acres,Number,7600
Alberta,1981,1,120.00 to 1,599.99 acres,Number,4978
Alberta,1981,1,600.00 to 2,239.99 acres,Number,2849
Alberta,1981,2,240.00 to 2,879.99 acres,Number,1222
Alberta,1981,2,880.00 to 3,519.99 acres,Number,675
Alberta,1981,3,520.00 acres and over,Number,1413
British Columbia,1981,Total number of farms,Number,20012
British Columbia,1981,Under 10.00 acres,Number,5241
British Columbia,1981,10.00 to 69.99 acres,Number,7137
British Columbia,1981,70.00 to 129.99 acres,Number,1638
British Columbia,1981,130.00 to 179.99 acres,Number,1614
British Columbia,1981,180.00 to 239.99 acres,Number,531
British Columbia,1981,240.00 to 399.99 acres,Number,1205
British Columbia,1981,400.00 to 559.99 acres,Number,613
British Columbia,1981,560.00 to 759.99 acres,Number,593
British Columbia,1981,760.00 to 1,119.99 acres,Number,546
British Columbia,1981,1,120.00 to 1,599.99 acres,Number,354
British Columbia,1981,1,600.00 to 2,239.99 acres,Number,232
British Columbia,1981,2,240.00 to 2,879.99 acres,Number,103
British Columbia,1981,2,880.00 to 3,519.99 acres,Number,60
British Columbia,1981,3,520.00 acres and over,Number,145
Canada,1986,Total number of farms,Number,293089
Canada,1986,Under 10.00 acres,Number,14679
Canada,1986,10.00 to 69.99 acres,Number,35561
Canada,1986,70.00 to 129.99 acres,Number,33603
Canada,1986,130.00 to 179.99 acres,Number,34544
Canada,1986,180.00 to 239.99 acres,Number,18808
Canada,1986,240.00 to 399.99 acres,Number,42799
Canada,1986,400.00 to 559.99 acres,Number,25193
Canada,1986,560.00 to 759.99 acres,Number,21897
Canada,1986,760.00 to 1,119.99 acres,Number,26294
Canada,1986,1,120.00 to 1,599.99 acres,Number,18637
Canada,1986,1,600.00 to 2,239.99 acres,Number,10696
Canada,1986,2,240.00 to 2,879.99 acres,Number,4396
Canada,1986,2,880.00 to 3,519.99 acres,Number,2156
Canada,1986,3,520.00 acres and over,Number,3826
Newfoundland and Labrador,1986,Total number of farms,Number,651
Newfoundland and Labrador,1986,Under 10.00 acres,Number,180
Newfoundland and Labrador,1986,10.00 to 69.99 acres,Number,271
Newfoundland and Labrador,1986,70.00 to 129.99 acres,Number,71
Newfoundland and Labrador,1986,130.00 to 179.99 acres,Number,32
Newfoundland and Labrador,1986,180.00 to 239.99 acres,Number,34
Newfoundland and Labrador,1986,240.00 to 399.99 acres,Number,27
Newfoundland and Labrador,1986,400.00 to 559.99 acres,Number,10
Newfoundland and Labrador,1986,560.00 to 759.99 acres,Number,10
Newfoundland and Labrador,1986,760.00 to 1,119.99 acres,Number,6
Newfoundland and Labrador,1986,1,120.00 to 1,599.99 acres,Number,1
Newfoundland and Labrador,1986,1,600.00 to 2,239.99 acres,Number,2
Newfoundland and Labrador,1986,2,240.00 to 2,879.99 acres,Number,2
Newfoundland and Labrador,1986,2,880.00 to 3,519.99 acres,Number,1
Newfoundland and Labrador,1986,3,520.00 acres and over,Number,4
Prince Edward Island,1986,Total number of farms,Number,2833
Prince Edward Island,1986,Under 10.00 acres,Number,180
Prince Edward Island,1986,10.00 to 69.99 acres,Number,380
Prince Edward Island,1986,70.00 to 129.99 acres,Number,558
Prince Edward Island,1986,130.00 to 179.99 acres,Number,383
Prince Edward Island,1986,180.00 to 239.99 acres,Number,381
Prince Edward Island,1986,240.00 to 399.99 acres,Number,512
Prince Edward Island,1986,400.00 to 559.99 acres,Number,231
Prince Edward Island,1986,560.00 to 759.99 acres,Number,101
Prince Edward Island,1986,760.00 to 1,119.99 acres,Number,67
Prince Edward Island,1986,1,120.00 to 1,599.99 acres,Number,20
Prince Edward Island,1986,1,600.00 to 2,239.99 acres,Number,13
Prince Edward Island,1986,2,240.00 to 2,879.99 acres,Number,3
Prince Edward Island,1986,2,880.00 to 3,519.99 acres,Number,3
Prince Edward Island,1986,3,520.00 acres and over,Number,1
Nova Scotia,1986,Total number of farms,Number,4283
Nova Scotia,1986,Under 10.00 acres,Number,387
Nova Scotia,1986,10.00 to 69.99 acres,Number,720
Nova Scotia,1986,70.00 to 129.99 acres,Number,676
Nova Scotia,1986,130.00 to 179.99 acres,Number,456
Nova Scotia,1986,180.00 to 239.99 acres,Number,504
Nova Scotia,1986,240.00 to 399.99 acres,Number,764
Nova Scotia,1986,400.00 to 559.99 acres,Number,395
Nova Scotia,1986,560.00 to 759.99 acres,Number,196
Nova Scotia,1986,760.00 to 1,119.99 acres,Number,120
Nova Scotia,1986,1,120.00 to 1,599.99 acres,Number,38
Nova Scotia,1986,1,600.00 to 2,239.99 acres,Number,17
Nova Scotia,1986,2,240.00 to 2,879.99 acres,Number,4
Nova Scotia,1986,2,880.00 to 3,519.99 acres,Number,4
Nova Scotia,1986,3,520.00 acres and over,Number,2
New Brunswick,1986,Total number of farms,Number,3554
New Brunswick,1986,Under 10.00 acres,Number,270
New Brunswick,1986,10.00 to 69.99 acres,Number,382
New Brunswick,1986,70.00 to 129.99 acres,Number,527
New Brunswick,1986,130.00 to 179.99 acres,Number,342
New Brunswick,1986,180.00 to 239.99 acres,Number,458
New Brunswick,1986,240.00 to 399.99 acres,Number,771
New Brunswick,1986,400.00 to 559.99 acres,Number,402
New Brunswick,1986,560.00 to 759.99 acres,Number,199
New Brunswick,1986,760.00 to 1,119.99 acres,Number,122
New Brunswick,1986,1,120.00 to 1,599.99 acres,Number,49
New Brunswick,1986,1,600.00 to 2,239.99 acres,Number,20
New Brunswick,1986,2,240.00 to 2,879.99 acres,Number,6
New Brunswick,1986,2,880.00 to 3,519.99 acres,Number,4
New Brunswick,1986,3,520.00 acres and over,Number,2
Quebec,1986,Total number of farms,Number,41448
Quebec,1986,Under 10.00 acres,Number,2067
Quebec,1986,10.00 to 69.99 acres,Number,6016
Quebec,1986,70.00 to 129.99 acres,Number,7901
Quebec,1986,130.00 to 179.99 acres,Number,5806
Quebec,1986,180.00 to 239.99 acres,Number,6003
Quebec,1986,240.00 to 399.99 acres,Number,8182
Quebec,1986,400.00 to 559.99 acres,Number,3205
Quebec,1986,560.00 to 759.99 acres,Number,1372
Quebec,1986,760.00 to 1,119.99 acres,Number,661
Quebec,1986,1,120.00 to 1,599.99 acres,Number,174
Quebec,1986,1,600.00 to 2,239.99 acres,Number,43
Quebec,1986,2,240.00 to 2,879.99 acres,Number,9
Quebec,1986,2,880.00 to 3,519.99 acres,Number,4
Quebec,1986,3,520.00 acres and over,Number,5
Ontario,1986,Total number of farms,Number,72713
Ontario,1986,Under 10.00 acres,Number,4390
Ontario,1986,10.00 to 69.99 acres,Number,14684
Ontario,1986,70.00 to 129.99 acres,Number,17406
Ontario,1986,130.00 to 179.99 acres,Number,8799
Ontario,1986,180.00 to 239.99 acres,Number,8632
Ontario,1986,240.00 to 399.99 acres,Number,10872
Ontario,1986,400.00 to 559.99 acres,Number,4140
Ontario,1986,560.00 to 759.99 acres,Number,1974
Ontario,1986,760.00 to 1,119.99 acres,Number,1206
Ontario,1986,1,120.00 to 1,599.99 acres,Number,414
Ontario,1986,1,600.00 to 2,239.99 acres,Number,125
Ontario,1986,2,240.00 to 2,879.99 acres,Number,33
Ontario,1986,2,880.00 to 3,519.99 acres,Number,19
Ontario,1986,3,520.00 acres and over,Number,19
Manitoba,1986,Total number of farms,Number,27336
Manitoba,1986,Under 10.00 acres,Number,766
Manitoba,1986,10.00 to 69.99 acres,Number,1710
Manitoba,1986,70.00 to 129.99 acres,Number,1358
Manitoba,1986,130.00 to 179.99 acres,Number,2802
Manitoba,1986,180.00 to 239.99 acres,Number,721
Manitoba,1986,240.00 to 399.99 acres,Number,4270
Manitoba,1986,400.00 to 559.99 acres,Number,3429
Manitoba,1986,560.00 to 759.99 acres,Number,3484
Manitoba,1986,760.00 to 1,119.99 acres,Number,3914
Manitoba,1986,1,120.00 to 1,599.99 acres,Number,2493
Manitoba,1986,1,600.00 to 2,239.99 acres,Number,1293
Manitoba,1986,2,240.00 to 2,879.99 acres,Number,537
Manitoba,1986,2,880.00 to 3,519.99 acres,Number,238
Manitoba,1986,3,520.00 acres and over,Number,321
Saskatchewan,1986,Total number of farms,Number,63431
Saskatchewan,1986,Under 10.00 acres,Number,593
Saskatchewan,1986,10.00 to 69.99 acres,Number,1107
Saskatchewan,1986,70.00 to 129.99 acres,Number,1006
Saskatchewan,1986,130.00 to 179.99 acres,Number,5509
Saskatchewan,1986,180.00 to 239.99 acres,Number,502
Saskatchewan,1986,240.00 to 399.99 acres,Number,7505
Saskatchewan,1986,400.00 to 559.99 acres,Number,6514
Saskatchewan,1986,560.00 to 759.99 acres,Number,7939
Saskatchewan,1986,760.00 to 1,119.99 acres,Number,12323
Saskatchewan,1986,1,120.00 to 1,599.99 acres,Number,9892
Saskatchewan,1986,1,600.00 to 2,239.99 acres,Number,5793
Saskatchewan,1986,2,240.00 to 2,879.99 acres,Number,2216
Saskatchewan,1986,2,880.00 to 3,519.99 acres,Number,1034
Saskatchewan,1986,3,520.00 acres and over,Number,1498
Alberta,1986,Total number of farms,Number,57777
Alberta,1986,Under 10.00 acres,Number,1031
Alberta,1986,10.00 to 69.99 acres,Number,3365
Alberta,1986,70.00 to 129.99 acres,Number,2624
Alberta,1986,130.00 to 179.99 acres,Number,8853
Alberta,1986,180.00 to 239.99 acres,Number,1111
Alberta,1986,240.00 to 399.99 acres,Number,8726
Alberta,1986,400.00 to 559.99 acres,Number,6267
Alberta,1986,560.00 to 759.99 acres,Number,6103
Alberta,1986,760.00 to 1,119.99 acres,Number,7341
Alberta,1986,1,120.00 to 1,599.99 acres,Number,5164
Alberta,1986,1,600.00 to 2,239.99 acres,Number,3154
Alberta,1986,2,240.00 to 2,879.99 acres,Number,1477
Alberta,1986,2,880.00 to 3,519.99 acres,Number,784
Alberta,1986,3,520.00 acres and over,Number,1777
British Columbia,1986,Total number of farms,Number,19063
British Columbia,1986,Under 10.00 acres,Number,4815
British Columbia,1986,10.00 to 69.99 acres,Number,6926
British Columbia,1986,70.00 to 129.99 acres,Number,1476
British Columbia,1986,130.00 to 179.99 acres,Number,1562
